UNID,PDIR,fullstreet,PBUILD,PSTREET,PSTREETTYPE,PSTREETSUF,PSUITE,PCITY,PSTATE,PCODE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
0038583E5641B86585257C270066F583,," Mobile",,Mobile,,,"Mobile #0",Arlington,VA,,38.885484,-77.099113,1,place,,,Arlington,VA,"Arlington County",22201,US,"TIGER/Line® dataset from the US Census Bureau"
00754EF78961359F8525789D0052B055,,"2515 Columbia Pike",2515,"Columbia Pike",,,,Arlington,VA,22204,38.86341,-77.084258,0.9,range_interpolation,2515,"State Rte 244",Arlington,VA,"Arlington County",22204,US,"TIGER/Line® dataset from the US Census Bureau"
00CE3B06432FA68A8825727B0071816B,,"3311 Lee Hwy",3311,"Lee Hwy",,,,Arlington,VA,22207,38.896744,-77.101726,1,rooftop,3311,"Lee Hwy",Arlington,VA,"Arlington County",22207,US,Arlington
0223BC07A769EEA185257949006585BE,,"1109 N Highland St",1109,"N Highland St",,,,Arlington,VA,22201,38.886672,-77.094735,1,rooftop,1109,"N Highland St",Arlington,VA,"Arlington County",22201,US,Arlington
032E4761D0C2797285256ECB0054233E,,"561 S 23rd St",561,"S 23rd St",,,,Arlington,VA,22202,38.853503,-77.055017,1,rooftop,561,"23rd St S",Arlington,VA,"Arlington County",22202,US,Arlington
038354AA5527243F85257EC900556BEA,,"1100 S Hayes St #0X06",1100,"S Hayes St #0X06",,,,Arlington,VA,22202,38.863731,-77.060561,1,rooftop,1100,"S Hayes St",Arlington,VA,"Arlington County",22202,US,Arlington
039300A2AFB5AFF58525829500492452,," Mobile",,Mobile,,,,Arlington,VA,22204,38.860335,-77.100868,1,place,,,Arlington,VA,"Arlington County",22204,US,"TIGER/Line® dataset from the US Census Bureau"
0401796E0E95D8E685257BF60049B6E5,," Mobile",,Mobile,,,"Mobile #",Arlington,VA,,38.885484,-77.099113,1,place,,,Arlington,VA,"Arlington County",22201,US,"TIGER/Line® dataset from the US Census Bureau"
0428CB9AF12CD5DF85257CC3005907E3,,"3215 24th Street, Unit 3",3215,"24th Street, Unit 3",,,,Arlington,VA,22206-,38.848669,-77.084365,1,rooftop,3215,"24th St S",Arlington,VA,"Arlington County",22206,US,Arlington
04C8F248089D5FE485257F550076CB5B,,"4053 Campbell",4053,Campbell,,,,Arlington,VA,22206,38.841086,-77.088468,1,rooftop,4053,"Campbell Ave",Arlington,VA,"Arlington County",22206,US,Arlington
04DF7D2B7D61F58C8525810C005C7A75,,"2249-E South Shirlington Road",2249-E,"South Shirlington Road",,,,Arlington,VA,22206,38.849688,-77.084409,0.9,range_interpolation,2249,"S Shirlington Rd",Arlington,VA,"Arlington County",22206,US,"TIGER/Line® dataset from the US Census Bureau"
054BB273B0DF1B60852581A20064C3CB,,"3313 Arlington Blvd",3313,"Arlington Blvd",,,,Arlington,VA,22201,38.872431,-77.096057,1,rooftop,3313,"Arlington Blvd",Arlington,VA,"Arlington County",22201,US,Arlington
054CCB031AC699F488257480005C2FF2,,"2900 N Sycamore St",2900,"N Sycamore St",,,,Arlington,VA,22207,38.899263,-77.157209,1,rooftop,2900,"N Sycamore St",Arlington,VA,"Arlington County",22207,US,Arlington
056D9877B1CD9F2185257BE8005ABA09,,"1700 N Moore St, Suite # 110",1700,"N Moore St, Suite # 110",,,,Arlington,VA,22209,38.895473,-77.071724,1,rooftop,1700,"N Moore St",Arlington,VA,"Arlington County",22209,US,Arlington
05866A89D476C85988256BF80074848B,,"555 S. 23rd St",555,"S. 23rd St",,,,Arlington,VA,22202-,38.853504,-77.05495,1,rooftop,555,"23rd St S",Arlington,VA,"Arlington County",22202,US,Arlington
059F0E110A3DF0C688256BF800748193,,"1305 N Jackson St",1305,"N Jackson St",,,,Arlington,VA,22201-,38.887701,-77.098983,1,rooftop,1305,"N Jackson St",Arlington,VA,"Arlington County",22201,US,Arlington
